"model_id","name","brand_id","wallapop_name"
"959","CUBE","31",""
"1188","e-NV200 EVALIA","31",""
"1018","EVALIA","31",""
"941","GT-R","31","GT-R"
"976","JUKE","31",""
"1008","LEAF","31",""
"751","Maxima","31","Maxima"
"110","Maxima QX","31",""
"34","Micra","31","Micra"
"567","Murano","31","Murano"
"685","Navara","31","Navara"
"588","NOTE","31",""
"1175","NP300 Navara","31","NP300 Navara"
"906","NP300 Pick Up","31",""
"949","NV200","31","NV200"
"1187","NV200 EVALIA","31",""
"1213","NV300","31","NV300"
"396","Pathfinder","31","Pathfinder"
"107","Patrol","31","Patrol"
"219","Patrol GR","31",""
"684","Pick-up","31","Pick-up"
"938","Pixo","31","Pixo"
"827","Prairie","31",""
"699","Primastar","31","Primastar"
"99","Primera","31","Primera"
"1129","PULSAR","31",""
"606","QASHQAI","31",""
"915","QASHQAI+2","31",""
"106","Serena","31","Serena"
"35","Sunny","31",""
"25","Terrano","31","Terrano"
"24","Terrano II","31","Terrano II"
"632","Tiida","31","Tiida"
"1391","Townstar","31","Townstar"
"644","Trade","31","Trade"
"643","Vanette","31","Vanette"
"665","Vanette Cargo","31",""
"455","X-TRAIL","31",""
"","","31","Atleon"
"","","31","Cube"
"","","31","Eco T"
"","","31","Evalia"
"","","31","Interstar"
"","","31","Juke"
"","","31","Kubistar"
"","","31","Leaf"
"","","31","Note"
"","","31","NP300"
"","","31","NT400 Cabstar"
"","","31","NT500"
"","","31","NV250"
"","","31","NV400"
"","","31","Pulsar"
"","","31","Qashqai"
"","","31","Qashqai+2"
"","","31","Townstar EV"
"","","31","X-Trail"
"1051","Adam","32",""
"392","Agila","32","Agila"
"1026","Ampera","32","Ampera"
"596","Antara","32","Antara"
"826","Ascona","32",""
"67","Astra","32","Astra"
"1514","Astra Electric","32","Astra Electric"
"1399","Astra PHEV","32",""
"1075","Cabrio","32","Cabrio"
"69","Calibra","32",""
"659","Combo","32","Combo"
"1377","Combo-e Life","32","Combo-e Life"
"1253","Combo Life","32","Combo Life"
"77","Corsa","32","Corsa"
"1289","Corsa-e","32","Corsa-e"
"1503","Corsa Electric","32",""
"1337","Crossland","32","Crossland"
"1219","Crossland X","32","Crossland X"
"170","Frontera","32","Frontera"
"1379","Grandland","32","Grandland"
"1398","Grandland PHEV","32",""
"1228","Grandland X","32","Grandland X"
"1292","Grandland X PHEV","32",""
"615","GT","32","GT"
"1163","GTC","32",""
"918","Insignia","32","Insignia"
"775","Kadett","32",""
"1160","Karl","32",""
"825","Manta","32",""
"506","Meriva","32","Meriva"
"1036","Mokka","32","Mokka"
"1333","Mokka-e","32","Mokka-e"
"1198","Mokka X","32","Mokka X"
"222","Monterey","32",""
"822","Monza","32",""
"686","Movano","32","Movano"
"151","Omega","32","Omega"
"824","Rekord","32",""
"823","Senator","32",""
"499","Signum","32","Signum"
"292","Sintra","32",""
"448","Speedster","32","Speedster"
"188","Tigra","32","Tigra"
"68","Vectra","32","Vectra"
"695","Vivaro","32","Vivaro"
"385","Zafira","32","Zafira"
"1339","Zafira-e Life","32","Zafira-e Life"
"1281","Zafira Life","32","Zafira Life"
"1012","Zafira Tourer","32","Zafira Tourer"
"","","32","ADAM"
"","","32","Combo-e"
"","","32","KARL"
"","","32","Movano-e"
"","","32","Vivaro-e"
"554","1007","33","1007"
"81","106","33","106"
"558","107","33","107"
"1135","108","33","108"
"1077","2008","33","2008"
"82","205","33",""
"380","206","33","206"
"1094","206 +","33",""
"487","206 SW","33",""
"587","207","33","207"
"1095","207 +","33",""
"1021","208","33","208"
"934","3008","33","3008"
"1316","3008 Hybrid","33",""
"42","306","33","306"
"293","307","33","307"
"484","307 SW","33",""
"447","308","33","308"
"821","309","33",""
"621","4007","33","4007"
"1039","4008","33","4008"
"155","405","33",""
"156","406","33","406"
"279","407","33","407"
"488","407 SW","33",""
"1441","408","33","408"
"950","5008","33","5008"
"1490","5008 Hybrid","33",""
"820","505","33",""
"982","508","33","508"
"1315","508 Hybrid","33",""
"819","604","33",""
"43","605","33","605"
"420","607","33","607"
"185","806","33","806"
"200","807","33","807"
"881","Bipper","33","Bipper"
"662","Boxer","33","Boxer"
"1303","e-2008","33","e-2008"
"1291","e-208","33","e-208"
"1523","E-3008","33",""
"1489","E-308","33",""
